siparis_id,musteri_adi,urun,kategori,adet,birim_fiyat,tarih
381,Zeynep Arslan,Monitor,Elektronik,2,1873.65,2025-07-03
382,Fatma Sahin,Laptop,Elektronik,2,1421.73,2025-09-10
383,,Mouse,Aksesuar,5,,2025-09-02
384,Mehmet Demir,Laptop,Elektronik,3,696.88,2025-06-15
385,Zeynep Arslan,Laptop,Elektronik,1,92.73,2025-07-11
386,Mustafa Yildiz,Tablet,Elektronik,2,1192.73,2025-09-07
387,Zeynep Arslan,Monitor,Elektronik,5,389.7,2025-03-31
388,Mustafa Yildiz,Tablet,Elektronik,1,648.31,2025-10-18
389,Fatma Sahin,Laptop,Elektronik,5,405.06,2025-02-23
390,Mehmet Demir,Sarj Aleti,Aksesuar,3,324.25,2025-02-15
391,Zeynep Arslan,Monitor,Elektronik,1,920.93,2025-02-25
392,Mustafa Yildiz,Laptop,Elektronik,2,143.89,2025-07-13
393,Fatma Sahin,Monitor,Elektronik,5,1114.75,2025-02-07
394,Zeynep Arslan,Laptop,Elektronik,1,625.07,2025-07-12
395,Zeynep Arslan,Kulaklik,Aksesuar,1,1477.37,2025-09-05
396,Mehmet Demir,Laptop,Elektronik,4,891.08,2025-06-19
397,Ali Celik,Klavye,Aksesuar,5,1950.08,2025-06-02
398,Mehmet Demir,Klavye,Aksesuar,4,237.04,2025-01-02
399,Fatma Sahin,Tablet,Elektronik,4,220.88,2025-04-16
400,Ali Celik,Kulaklik,Aksesuar,1,1294.47,2025-08-30
401,Mehmet Demir,Sarj Aleti,Aksesuar,4,1795.01,2025-07-15
402,Fatma Sahin,Monitor,Elektronik,3,,2025-10-16
403,Mustafa Yildiz,Laptop,Elektronik,3,344.7,2025-04-27
404,Elif Aydin,Laptop,Elektronik,5,1689.55,2025-05-01
405,Mehmet Demir,Sarj Aleti,Aksesuar,1,632.76,2025-08-18
406,Mehmet Demir,Kulaklik,Aksesuar,2,1900.67,2025-02-10
407,Ali Celik,Tablet,Elektronik,5,443.74,2025-02-04
408,Elif Aydin,Telefon,Elektronik,3,806.79,2025-01-07
409,Ayse Kaya,Tablet,Elektronik,5,269.41,2025-10-16
410,Ali Celik,Telefon,Elektronik,4,1582.2,2025-09-06
411,,Sarj Aleti,Aksesuar,5,123.06,2025-06-19
412,Ahmet Yilmaz,Klavye,Aksesuar,3,146.12,2025-06-05
413,Fatma Sahin,Mouse,Aksesuar,1,596.68,2025-08-15
414,Elif Aydin,Monitor,Elektronik,2,575.37,2025-07-28
415,Mehmet Demir,Sarj Aleti,Aksesuar,5,1531.01,2025-09-17
416,Mehmet Demir,Tablet,Elektronik,1,314.52,2025-04-13
417,Ali Celik,Laptop,Elektronik,2,536.51,2025-08-26
418,Elif Aydin,Tablet,Elektronik,3,1289.05,2025-04-01
419,Ayse Kaya,Sarj Aleti,Aksesuar,3,1194.42,2025-07-17
420,Fatma Sahin,Laptop,Elektronik,2,367.67,2025-05-18
421,Elif Aydin,Tablet,Elektronik,1,1050.9,2025-03-30
422,Mustafa Yildiz,Laptop,Elektronik,3,486.35,2025-06-28
423,Mustafa Yildiz,Sarj Aleti,Aksesuar,5,541.4,2025-01-04
424,Elif Aydin,Monitor,Elektronik,1,1144.84,2025-05-22
425,Fatma Sahin,Monitor,Elektronik,3,1729.91,2025-05-04
426,Mehmet Demir,Laptop,Elektronik,3,1620.59,2025-09-12
427,Fatma Sahin,Mouse,Aksesuar,1,555.88,2025-04-24
428,Mehmet Demir,Sarj Aleti,Aksesuar,2,1817.73,2025-08-30
429,Zeynep Arslan,Kulaklik,Aksesuar,2,1494.79,2025-04-24
430,Zeynep Arslan,Monitor,Elektronik,3,485.49,2025-05-31
431,Ayse Kaya,Sarj Aleti,Aksesuar,5,1709.87,2025-04-10
432,Mehmet Demir,Telefon,Elektronik,1,1741.62,2025-04-13
433,Mehmet Demir,Monitor,Elektronik,4,847.92,2025-04-03
434,Ahmet Yilmaz,Telefon,Elektronik,1,1000.78,2025-04-18
435,Mehmet Demir,Kulaklik,Aksesuar,1,1173.74,2025-08-08
436,Fatma Sahin,Tablet,Elektronik,-1,886.6,2025-01-08
437,Ahmet Yilmaz,Monitor,Elektronik,-1,1525.85,2025-05-08
438,Ali Celik,Klavye,Aksesuar,4,1402.37,2025-01-24
439,Zeynep Arslan,Mouse,Aksesuar,5,1899.5,2025-03-10
440,,Monitor,Elektronik,2,1992.47,2025-04-25
441,Zeynep Arslan,Kulaklik,Aksesuar,1,,2025-01-20
442,Ahmet Yilmaz,Tablet,Elektronik,1,1759.26,2025-01-11
443,Ali Celik,Laptop,Elektronik,5,1395.01,2025-03-20
444,Ali Celik,Klavye,Aksesuar,1,1405.62,2025-03-12
445,Ali Celik,Tablet,Elektronik,1,1669.77,2025-02-24
446,Fatma Sahin,Sarj Aleti,Aksesuar,5,437.36,2025-07-29
447,Zeynep Arslan,Mouse,Aksesuar,4,362.73,2025-01-07
448,Ayse Kaya,Telefon,Elektronik,2,1818.42,2025-02-08
449,Ali Celik,Telefon,Elektronik,3,1814.32,2025-02-21
450,Mustafa Yildiz,Kulaklik,Aksesuar,3,1754.57,2025-02-18
451,Zeynep Arslan,Laptop,Elektronik,3,68.86,2025-05-18
452,Elif Aydin,Telefon,Elektronik,4,776.61,2025-07-17
453,Mehmet Demir,Sarj Aleti,Aksesuar,1,1609.8,2025-01-31
454,Elif Aydin,Kulaklik,Aksesuar,5,252.24,2025-07-14
455,Elif Aydin,Monitor,Elektronik,2,1242.15,2025-02-27
456,Fatma Sahin,Tablet,Elektronik,1,909.34,2025-06-23
457,Mehmet Demir,Telefon,Elektronik,4,894.05,2025-10-13
458,Elif Aydin,Laptop,Elektronik,4,72.71,2025-02-08
459,Fatma Sahin,Sarj Aleti,Aksesuar,5,675.24,2025-07-13
460,Elif Aydin,Tablet,Elektronik,5,1643.35,2025-09-13
461,Ayse Kaya,Sarj Aleti,Aksesuar,1,666.32,2025-01-19
462,Fatma Sahin,Laptop,Elektronik,3,1660.52,2025-08-22
463,Zeynep Arslan,Monitor,Elektronik,4,758.52,2025-08-31
464,Ahmet Yilmaz,Monitor,Elektronik,2,1446.03,2025-05-30
465,Mustafa Yildiz,Monitor,Elektronik,2,,2025-04-11
466,Zeynep Arslan,Klavye,Aksesuar,2,285.45,2025-08-01
467,Elif Aydin,Laptop,Elektronik,4,1856.92,2025-09-16
468,Mustafa Yildiz,Kulaklik,Aksesuar,5,,2025-09-05
469,Mustafa Yildiz,Kulaklik,Aksesuar,1,1399.04,2025-06-14
470,Ali Celik,Tablet,Elektronik,2,866.4,2025-06-25
471,Ali Celik,Mouse,Aksesuar,5,933.05,2025-10-08
472,Fatma Sahin,Monitor,Elektronik,2,1438.15,2025-05-29
473,Zeynep Arslan,Monitor,Elektronik,2,1846.32,2025-06-30
474,Ali Celik,Sarj Aleti,Aksesuar,5,1186.47,2025-08-05
475,Fatma Sahin,Laptop,Elektronik,1,,2025-03-24
476,Fatma Sahin,Mouse,Aksesuar,3,1382.61,2025-01-17
477,Fatma Sahin,Monitor,Elektronik,5,1637.35,2025-10-15
478,Ahmet Yilmaz,Tablet,Elektronik,3,513.31,2025-07-18
479,,Tablet,Elektronik,5,1915.57,2025-05-09
480,Zeynep Arslan,Klavye,Aksesuar,2,1260.1,2025-10-07
481,Ayse Kaya,Klavye,Aksesuar,2,1563.49,2025-03-30
482,Mehmet Demir,Telefon,Elektronik,2,785.54,2025-05-11
483,Zeynep Arslan,Laptop,Elektronik,2,694.6,2025-06-04
484,Fatma Sahin,Sarj Aleti,Aksesuar,3,1590.32,2025-09-24
485,Ayse Kaya,Telefon,Elektronik,4,1583.2,2025-04-20
486,Elif Aydin,Monitor,Elektronik,5,695.58,2025-01-05
487,Fatma Sahin,Telefon,Elektronik,5,1354.43,2025-06-14
488,,Tablet,Elektronik,5,1836.07,2025-09-22
489,Fatma Sahin,Monitor,Elektronik,3,1052.9,2025-02-12
490,Ayse Kaya,Telefon,Elektronik,1,376.42,2025-04-20
491,Ayse Kaya,Tablet,Elektronik,4,1679.55,2025-03-20
492,Mehmet Demir,Laptop,Elektronik,1,945.49,2025-10-13
493,Elif Aydin,Telefon,Elektronik,4,1171.18,2025-08-10
494,Ayse Kaya,Monitor,Elektronik,5,82.94,2025-10-27
495,Ali Celik,Laptop,Elektronik,1,1416.72,2025-06-04
496,Elif Aydin,Telefon,Elektronik,1,598.96,2025-04-23
497,Mehmet Demir,Kulaklik,Aksesuar,3,1506.17,2025-07-11
498,Mustafa Yildiz,Laptop,Elektronik,1,1129.37,2025-02-13
499,Mustafa Yildiz,Mouse,Aksesuar,2,459.6,2025-09-20
500,Ayse Kaya,Kulaklik,Aksesuar,2,363.86,2025-10-18
305,Ahmet Yilmaz,Telefon,Elektronik,2,263.27,2025-07-24
341,Mehmet Demir,Telefon,Elektronik,3,1199.67,2025-02-13
48,Fatma Sahin,Tablet,Elektronik,5,1232.11,2025-08-12
68,,Mouse,Aksesuar,1,1516.42,2025-10-04
480,Zeynep Arslan,Klavye,Aksesuar,2,1260.1,2025-10-07
486,Elif Aydin,Monitor,Elektronik,5,695.58,2025-01-05
311,Elif Aydin,Klavye,Aksesuar,4,1056.19,2025-07-27
32,Ali Celik,Monitor,Elektronik,2,1872.68,2025-06-03
250,Fatma Sahin,Tablet,Elektronik,2,1418.78,2025-02-11
91,Mehmet Demir,Telefon,Elektronik,1,1897.8,2025-10-10
