siparis_id,musteri_adi,urun,kategori,adet,birim_fiyat,tarih,toplam_tutar
347,Mehmet Demir,Tablet,Elektronik,5,875.97,2025-06-08,4379.85
348,Zeynep Arslan,Telefon,Elektronik,5,1047.04,2025-02-03,5235.2
349,Fatma Sahin,Mouse,Aksesuar,1,1412.42,2025-08-11,1412.42
351,Mehmet Demir,Laptop,Elektronik,3,369.47,2025-05-18,1108.41
352,Ayse Kaya,Telefon,Elektronik,3,957.8694827586207,2025-10-23,2873.61
353,Mehmet Demir,Telefon,Elektronik,5,1017.49,2025-05-11,5087.45
354,Ahmet Yilmaz,Telefon,Elektronik,5,1793.82,2025-01-07,8969.1
355,Ahmet Yilmaz,Klavye,Aksesuar,2,139.66,2025-08-03,279.32
356,Ayse Kaya,Klavye,Aksesuar,3,677.51,2025-03-03,2032.53
357,Ayse Kaya,Laptop,Elektronik,4,399.72,2025-05-25,1598.88
359,Fatma Sahin,Klavye,Aksesuar,2,954.66,2025-07-29,1909.32
361,Ahmet Yilmaz,Mouse,Aksesuar,4,252.7,2025-03-14,1010.8
362,Mustafa Yildiz,Mouse,Aksesuar,5,231.4,2025-07-10,1157.0
363,Mustafa Yildiz,Sarj Aleti,Aksesuar,2,1950.38,2025-10-18,3900.76
364,Zeynep Arslan,Laptop,Elektronik,3,898.22,2025-07-21,2694.66
365,Mehmet Demir,Monitor,Elektronik,2,670.21,2025-10-27,1340.42
366,Ayse Kaya,Telefon,Elektronik,4,353.05,2025-04-17,1412.2
367,Ali Celik,Sarj Aleti,Aksesuar,2,651.2,2025-01-21,1302.4
368,Zeynep Arslan,Klavye,Aksesuar,2,1680.05,2025-01-26,3360.1
369,Elif Aydin,Mouse,Aksesuar,4,557.33,2025-10-09,2229.32
370,Ahmet Yilmaz,Klavye,Aksesuar,1,234.71,2025-04-24,234.71
371,Ali Celik,Kulaklik,Aksesuar,1,436.36,2025-02-08,436.36
372,Ayse Kaya,Laptop,Elektronik,2,1994.46,2025-06-19,3988.92
373,Mustafa Yildiz,Telefon,Elektronik,5,133.26,2025-07-22,666.3
374,Mehmet Demir,Sarj Aleti,Aksesuar,2,107.49,2025-08-17,214.98
375,Elif Aydin,Kulaklik,Aksesuar,3,117.57,2025-10-09,352.71
376,Fatma Sahin,Sarj Aleti,Aksesuar,2,168.91,2025-10-06,337.82
377,Elif Aydin,Laptop,Elektronik,5,1979.34,2025-10-17,9896.7
378,Ahmet Yilmaz,Monitor,Elektronik,2,807.34,2025-05-24,1614.68
379,Fatma Sahin,Laptop,Elektronik,5,1626.88,2025-02-21,8134.4
380,Fatma Sahin,Klavye,Aksesuar,1,1330.89,2025-07-18,1330.89
381,Zeynep Arslan,Monitor,Elektronik,2,1873.65,2025-07-03,3747.3
382,Fatma Sahin,Laptop,Elektronik,2,1421.73,2025-09-10,2843.46
384,Mehmet Demir,Laptop,Elektronik,3,696.88,2025-06-15,2090.64
385,Zeynep Arslan,Laptop,Elektronik,1,92.73,2025-07-11,92.73
386,Mustafa Yildiz,Tablet,Elektronik,2,1192.73,2025-09-07,2385.46
387,Zeynep Arslan,Monitor,Elektronik,5,389.7,2025-03-31,1948.5
388,Mustafa Yildiz,Tablet,Elektronik,1,648.31,2025-10-18,648.31
389,Fatma Sahin,Laptop,Elektronik,5,405.06,2025-02-23,2025.3
390,Mehmet Demir,Sarj Aleti,Aksesuar,3,324.25,2025-02-15,972.75
391,Zeynep Arslan,Monitor,Elektronik,1,920.93,2025-02-25,920.93
392,Mustafa Yildiz,Laptop,Elektronik,2,143.89,2025-07-13,287.78
393,Fatma Sahin,Monitor,Elektronik,5,1114.75,2025-02-07,5573.75
394,Zeynep Arslan,Laptop,Elektronik,1,625.07,2025-07-12,625.07
395,Zeynep Arslan,Kulaklik,Aksesuar,1,1477.37,2025-09-05,1477.37
396,Mehmet Demir,Laptop,Elektronik,4,891.08,2025-06-19,3564.32
397,Ali Celik,Klavye,Aksesuar,5,1950.08,2025-06-02,9750.4
398,Mehmet Demir,Klavye,Aksesuar,4,237.04,2025-01-02,948.16
399,Fatma Sahin,Tablet,Elektronik,4,220.88,2025-04-16,883.52
400,Ali Celik,Kulaklik,Aksesuar,1,1294.47,2025-08-30,1294.47
401,Mehmet Demir,Sarj Aleti,Aksesuar,4,1795.01,2025-07-15,7180.04
402,Fatma Sahin,Monitor,Elektronik,3,1051.6790624999999,2025-10-16,3155.04
403,Mustafa Yildiz,Laptop,Elektronik,3,344.7,2025-04-27,1034.1
404,Elif Aydin,Laptop,Elektronik,5,1689.55,2025-05-01,8447.75
405,Mehmet Demir,Sarj Aleti,Aksesuar,1,632.76,2025-08-18,632.76
406,Mehmet Demir,Kulaklik,Aksesuar,2,1900.67,2025-02-10,3801.34
407,Ali Celik,Tablet,Elektronik,5,443.74,2025-02-04,2218.7
408,Elif Aydin,Telefon,Elektronik,3,806.79,2025-01-07,2420.37
409,Ayse Kaya,Tablet,Elektronik,5,269.41,2025-10-16,1347.05
410,Ali Celik,Telefon,Elektronik,4,1582.2,2025-09-06,6328.8
412,Ahmet Yilmaz,Klavye,Aksesuar,3,146.12,2025-06-05,438.36
413,Fatma Sahin,Mouse,Aksesuar,1,596.68,2025-08-15,596.68
414,Elif Aydin,Monitor,Elektronik,2,575.37,2025-07-28,1150.74
415,Mehmet Demir,Sarj Aleti,Aksesuar,5,1531.01,2025-09-17,7655.05
416,Mehmet Demir,Tablet,Elektronik,1,314.52,2025-04-13,314.52
417,Ali Celik,Laptop,Elektronik,2,536.51,2025-08-26,1073.02
418,Elif Aydin,Tablet,Elektronik,3,1289.05,2025-04-01,3867.15
419,Ayse Kaya,Sarj Aleti,Aksesuar,3,1194.42,2025-07-17,3583.26
420,Fatma Sahin,Laptop,Elektronik,2,367.67,2025-05-18,735.34
421,Elif Aydin,Tablet,Elektronik,1,1050.9,2025-03-30,1050.9
422,Mustafa Yildiz,Laptop,Elektronik,3,486.35,2025-06-28,1459.05
423,Mustafa Yildiz,Sarj Aleti,Aksesuar,5,541.4,2025-01-04,2707.0
424,Elif Aydin,Monitor,Elektronik,1,1144.84,2025-05-22,1144.84
425,Fatma Sahin,Monitor,Elektronik,3,1729.91,2025-05-04,5189.73
426,Mehmet Demir,Laptop,Elektronik,3,1620.59,2025-09-12,4861.77
427,Fatma Sahin,Mouse,Aksesuar,1,555.88,2025-04-24,555.88
428,Mehmet Demir,Sarj Aleti,Aksesuar,2,1817.73,2025-08-30,3635.46
429,Zeynep Arslan,Kulaklik,Aksesuar,2,1494.79,2025-04-24,2989.58
430,Zeynep Arslan,Monitor,Elektronik,3,485.49,2025-05-31,1456.47
431,Ayse Kaya,Sarj Aleti,Aksesuar,5,1709.87,2025-04-10,8549.35
432,Mehmet Demir,Telefon,Elektronik,1,1741.62,2025-04-13,1741.62
433,Mehmet Demir,Monitor,Elektronik,4,847.92,2025-04-03,3391.68
434,Ahmet Yilmaz,Telefon,Elektronik,1,1000.78,2025-04-18,1000.78
435,Mehmet Demir,Kulaklik,Aksesuar,1,1173.74,2025-08-08,1173.74
438,Ali Celik,Klavye,Aksesuar,4,1402.37,2025-01-24,5609.48
439,Zeynep Arslan,Mouse,Aksesuar,5,1899.5,2025-03-10,9497.5
441,Zeynep Arslan,Kulaklik,Aksesuar,1,948.9709999999999,2025-01-20,948.97
442,Ahmet Yilmaz,Tablet,Elektronik,1,1759.26,2025-01-11,1759.26
443,Ali Celik,Laptop,Elektronik,5,1395.01,2025-03-20,6975.05
444,Ali Celik,Klavye,Aksesuar,1,1405.62,2025-03-12,1405.62
445,Ali Celik,Tablet,Elektronik,1,1669.77,2025-02-24,1669.77
446,Fatma Sahin,Sarj Aleti,Aksesuar,5,437.36,2025-07-29,2186.8
447,Zeynep Arslan,Mouse,Aksesuar,4,362.73,2025-01-07,1450.92
448,Ayse Kaya,Telefon,Elektronik,2,1818.42,2025-02-08,3636.84
449,Ali Celik,Telefon,Elektronik,3,1814.32,2025-02-21,5442.96
450,Mustafa Yildiz,Kulaklik,Aksesuar,3,1754.57,2025-02-18,5263.71
451,Zeynep Arslan,Laptop,Elektronik,3,68.86,2025-05-18,206.58
452,Elif Aydin,Telefon,Elektronik,4,776.61,2025-07-17,3106.44
453,Mehmet Demir,Sarj Aleti,Aksesuar,1,1609.8,2025-01-31,1609.8
454,Elif Aydin,Kulaklik,Aksesuar,5,252.24,2025-07-14,1261.2
455,Elif Aydin,Monitor,Elektronik,2,1242.15,2025-02-27,2484.3
456,Fatma Sahin,Tablet,Elektronik,1,909.34,2025-06-23,909.34
457,Mehmet Demir,Telefon,Elektronik,4,894.05,2025-10-13,3576.2
458,Elif Aydin,Laptop,Elektronik,4,72.71,2025-02-08,290.84
459,Fatma Sahin,Sarj Aleti,Aksesuar,5,675.24,2025-07-13,3376.2
460,Elif Aydin,Tablet,Elektronik,5,1643.35,2025-09-13,8216.75
461,Ayse Kaya,Sarj Aleti,Aksesuar,1,666.32,2025-01-19,666.32
462,Fatma Sahin,Laptop,Elektronik,3,1660.52,2025-08-22,4981.56
463,Zeynep Arslan,Monitor,Elektronik,4,758.52,2025-08-31,3034.08
464,Ahmet Yilmaz,Monitor,Elektronik,2,1446.03,2025-05-30,2892.06
465,Mustafa Yildiz,Monitor,Elektronik,2,1051.6790624999999,2025-04-11,2103.36
466,Zeynep Arslan,Klavye,Aksesuar,2,285.45,2025-08-01,570.9
467,Elif Aydin,Laptop,Elektronik,4,1856.92,2025-09-16,7427.68
468,Mustafa Yildiz,Kulaklik,Aksesuar,5,948.9709999999999,2025-09-05,4744.85
469,Mustafa Yildiz,Kulaklik,Aksesuar,1,1399.04,2025-06-14,1399.04
470,Ali Celik,Tablet,Elektronik,2,866.4,2025-06-25,1732.8
471,Ali Celik,Mouse,Aksesuar,5,933.05,2025-10-08,4665.25
472,Fatma Sahin,Monitor,Elektronik,2,1438.15,2025-05-29,2876.3
473,Zeynep Arslan,Monitor,Elektronik,2,1846.32,2025-06-30,3692.64
474,Ali Celik,Sarj Aleti,Aksesuar,5,1186.47,2025-08-05,5932.35
475,Fatma Sahin,Laptop,Elektronik,1,1062.8605454545457,2025-03-24,1062.86
476,Fatma Sahin,Mouse,Aksesuar,3,1382.61,2025-01-17,4147.83
477,Fatma Sahin,Monitor,Elektronik,5,1637.35,2025-10-15,8186.75
478,Ahmet Yilmaz,Tablet,Elektronik,3,513.31,2025-07-18,1539.93
480,Zeynep Arslan,Klavye,Aksesuar,2,1260.1,2025-10-07,2520.2
481,Ayse Kaya,Klavye,Aksesuar,2,1563.49,2025-03-30,3126.98
482,Mehmet Demir,Telefon,Elektronik,2,785.54,2025-05-11,1571.08
483,Zeynep Arslan,Laptop,Elektronik,2,694.6,2025-06-04,1389.2
484,Fatma Sahin,Sarj Aleti,Aksesuar,3,1590.32,2025-09-24,4770.96
485,Ayse Kaya,Telefon,Elektronik,4,1583.2,2025-04-20,6332.8
486,Elif Aydin,Monitor,Elektronik,5,695.58,2025-01-05,3477.9
487,Fatma Sahin,Telefon,Elektronik,5,1354.43,2025-06-14,6772.15
489,Fatma Sahin,Monitor,Elektronik,3,1052.9,2025-02-12,3158.7
490,Ayse Kaya,Telefon,Elektronik,1,376.42,2025-04-20,376.42
491,Ayse Kaya,Tablet,Elektronik,4,1679.55,2025-03-20,6718.2
492,Mehmet Demir,Laptop,Elektronik,1,945.49,2025-10-13,945.49
493,Elif Aydin,Telefon,Elektronik,4,1171.18,2025-08-10,4684.72
494,Ayse Kaya,Monitor,Elektronik,5,82.94,2025-10-27,414.7
495,Ali Celik,Laptop,Elektronik,1,1416.72,2025-06-04,1416.72
496,Elif Aydin,Telefon,Elektronik,1,598.96,2025-04-23,598.96
497,Mehmet Demir,Kulaklik,Aksesuar,3,1506.17,2025-07-11,4518.51
498,Mustafa Yildiz,Laptop,Elektronik,1,1129.37,2025-02-13,1129.37
499,Mustafa Yildiz,Mouse,Aksesuar,2,459.6,2025-09-20,919.2
500,Ayse Kaya,Kulaklik,Aksesuar,2,363.86,2025-10-18,727.72
